text,lbl
MINIMART ANAN,0
Chợ Sủi Phú Thị Gia Lâm,1
Ngày,2
Tổng tiền,3
VinCommerce,0
VM QNH Dự án quỹ đất đường sắt,1
DA QĐ doc tuyến ĐS Tổ Khu,1
P Cẩm Sơn TP Cẩm Phả T QN,1
Ngày bán,2
TỔNG TIỀN PHẢI T TOÁN,3
SIEU THI BACH HOA TONG HOP,0
Bố Cẩm Tây Cẩm Phả QN,1
Tổng cộng cộng đã gồm VAT,3
co op mart,0
Co opMart HAU GIANG,0
Hau Giang P Q TpHCM,1
Dat hang qua DT,1
Tong so tien thanh toan,3
Tổ Khu Minh Tiến A,1
Chợ Sủi Phú Thị Thị Gia Lâm,1
Saigon Co op,0
Co op Food HN THE K-PARK,0
Tang SH Toa K3 cong trinh chung cu ket hop dich vu tren o dat H-CT2 thuoc Du an Dau tu xay dung khu nha o Hi Brand,1
tai Khu do thi moi Van Phu,1
P Phu La Q Ha Dong Tp Ha Noi,1
Ngay,2
VM QNH Dư án quỹ đát đướng sắt,1
Tổng thanh toán,3
Phúc Anh Minimart,0
Cổ Bi Gia Lâm Hà Nội,1
Khách phải trả,3
TÊN ĐẠI LÝ,0
VINMART,0
ĐỊA CHỈ,1
TỔ KHU MINH TIẾN A P CÂ,1
NGÀY,2
TỔNG,3
Đ,3
VM+QNH Tổ Khu 3B Cẩm Trung,1
Tổ Khu 3B P Cẩm Trung,1
TP Cẩm Phả T Quảng Ninh,1
TÊn ĐẠI LÝ,0
SỐ TRẦN PHÚ P C,1
THỜI GIAN,2
TẠI QUẦY,3
Tổng cộng,3
VM QNH Trần Phú,1
Số Đường Trần Phú,1
TP Cẩm Phả Quảng Ninh,1
CỬA HÀNG NĂM OÁNH,0
Thôn Phú Thuỵ Xã Phú Thị Huyện Gia Lâm TP Hà Nội,1
Cộng tiền hàng tiền hàng,3
VM HNI Láng Trung,0
Số ngõ Láng Trung P Láng Hạ,1
Q Đống Đa Hà Nội,1
TIỀN ĐẠI LÝ,0
TỔ MINH TIẾN A,1
CẨM BÌNH CẨM PHẢ QN,1
NAM,2
GIỜ,2
VMD1,3
VM+QNH Dự án KDC lấn biển cọc,1
DA khu DCLB cọc P Cẩm Sơn,1
Co op Food HN The K-PARK,0
VM QNH Tổ khu Minh Tiến A,1
P Cẩm Bình TP Cẩm Phả QNH,1
NHÀ SÁCH GD-TC CẨM PHẢ,0
ĐC Đường Trần Phú Cẩm Phả,1
Thời gian,2
Tổng số thanh toán,3
000đ,3
Cộng tiền hàng,3
VM+QNH Trần Phú,1
23a Huỳnh Văn Bánh P Q PN,1
Ngày giờ vào,2
Ngày giờ ra,2
Tiền thanh toán,3
VM QNH Dự án KDC lấn biên coc,1
MILANO COFFEE,0
Cây Trâm P Q Gò Vấp TP HCM,1
Tiên Thanh Toán,3
PHÓ MỎ,0
Tổ khu Tân Lập P Cẩm Thủy,1
Tp Cẩm Phả Quảng Ninh,1
VM QNH Tổ Khu Minh Tiến A,1
Số Cẩm Tây Cẩm Phả QN,1
Số Đường Trần Phú P Cẩm Tây,1
ĐC Đường Trần Phú-Cẩm Phả,1
Tống số thanh toán,3
SCTC CÔ THỎ TRẦN PHÚ CẨM,0
PHẢ,0
Trần Phú phường Cẩm Tây Thành phố Cẩm,1
Phả Quảng Ninh,1
Thôn Phú Thụy Xã Phú Thị Huyện Gia Lâm TP Hà Nội,1
MINIMART ANANAN,0
VM HCMA T93 Nguyễn Kiệm,1
T93 Nguyễn Kiệm Phường,1
Quận Gò Vấp TP HCM,1
HỒNG TIẾN PHẢI T TOÁN,3
VM QNH Số Tổ Khu Diêm Thủy,1
Số Tổ Khu Dâm Thuỷ,1
P Cẩm Đông TP Cẩm Phả,1
VM+QNH Dư án quỹ đất đường sắt,1
Cafe CJ Building,0
CJ Building Le Thanh Ton Street,1
Ben Nghe Ward Dist HCM City,1
CASH,3
Phúc Anh Minimimart,0
Hồ khu Tân Lập P Cẩm Thủy,1
Địa chỉ,1
TỔ KHU MINH TIẾN A P CA,1
TAI QUAY,3
D,3
SCTC cổ THỎ TRẦN PHÚ CẨM,0
Ngày CH CH,2
VM QNH Tổ KHu Minh Tiến A,1
Tổ khu Minh Tiến A,1
P Cẩm Bình Tp Cẩm Phả QNH,1
Tổng công đã gồm VAT,3
Guitar Cafe,0
Phan Chu Trinh Hiệp Phú Quận Hồ,1
Ngày lấp,2
Thành tiền,3
Tổng cộng cộng,3
Có Bi Gio Lâm Hà Nội,1
THỨC COFFEE,0
Quang Trung P10 Gò Vấp,1
Giờ vào,2
Giờ ra,2
Tiền Thanh Toán,3
PHỐ MỎ,0
Tổng cộng đã gồm VAT,3
HỆ THỐNG SIÊU THỊ MỸ PHẨM SAMMI SHOP,0
Ngày Giờ,2
Số tiền cần thanh toán,3
Quang Trung Q,1
VM QNH Thanh Niên,1
DA khu DCLB coc P Cẩm Sơn,1
Tổ khu Tân Lập P Cẩm Thuỷ,1
TIỀN KHÁCH TRẢ,3
saigon co op co op Food HN THE K-PARK,0
Tang SH42 Toa K3 Cong trinh chung cu,1
HCM Nguyễn Kiệm,0
VM Quận Gò Vấp TP HCM,1
Nguyễn Kiêm Phường,1
VM+QNH Tổ Khu Minh Tiến A,1
Số Thanh Niên P Cẩm Thành,1
THE COFFEE HQUSE,0
Phan Huy Ích P QGò Vấp,1
Thanh Toán,3
VM+QNH Tổ Khu Cẩm Trung,1
Phan Huy Ích P Q Gò Vấp,1
thanh toán,3
000d,3
Chức sơn Phú Thị Gia Lam,1
Tên DAI LY,0
